_id,programId,programName,description,createdBy,creationDate,coe,__v,trainerId
660ed878d1b3e162abf04cc4,1,Data Science Fundamentals,"An introductory course covering fundamental concepts and techniques in data science, including data manipulation, visualization, and basic machine learning algorithms.",66053fefd7c487757f97efbc,2024-04-04 16:42:32.694000,660ed43ad1b3e162abf04caf,0.0,
660ed889d1b3e162abf04cc6,2,Advanced Machine Learning,"A comprehensive training program focusing on advanced machine learning algorithms and techniques, such as deep learning, reinforcement learning, and natural language processing.",66053fefd7c487757f97efbc,2024-04-04 16:42:49.622000,660ed43ad1b3e162abf04caf,0.0,
660ed895d1b3e162abf04cc8,3,UI/UX Design Essentials,"Essential training for aspiring UI/UX designers, covering topics like design principles, prototyping tools, and user research methodologies.",66053fefd7c487757f97efbc,2024-04-04 16:43:01.026000,660ed5b4d1b3e162abf04cb9,0.0,
660ed895d1b3e162abf04cca,3,UI/UX Design Essentials,"Essential training for aspiring UI/UX designers, covering topics like design principles, prototyping tools, and user research methodologies.",66053fefd7c487757f97efbc,2024-04-04 16:43:01.243000,660ed5b4d1b3e162abf04cb9,0.0,
660ed8a0d1b3e162abf04ccc,4,Backend Development Bootcamp,"A hands-on bootcamp for backend developers, covering server-side programming languages, database management, and RESTful API development.",66053fefd7c487757f97efbc,2024-04-04 16:43:12.178000,660ed5c4d1b3e162abf04cbb,0.0,
660ed8a9d1b3e162abf04cce,5,Cloud Computing Fundamentals,"An introductory course providing an overview of cloud computing concepts, services, and deployment models, along with hands-on experience with popular cloud platforms.",66053fefd7c487757f97efbc,2024-04-04 16:43:21.878000,660ed4c2d1b3e162abf04cb3,0.0,
660ed929d1b3e162abf04cd0,6,Data Engineering Essentials,"An essential training program for data engineers, covering data pipeline design, ETL processes, and data warehousing techniques.",66053fefd7c487757f97efbc,2024-04-04 16:45:29.078000,660ed5d6d1b3e162abf04cbd,0.0,
660ed945d1b3e162abf04cd2,7,Data Analytics Bootcamp,"A comprehensive bootcamp for data analysts, covering data visualization, statistical analysis, and predictive modeling techniques.",66053fefd7c487757f97efbc,2024-04-04 16:45:57.363000,660ed5e7d1b3e162abf04cbf,0.0,
660ed957d1b3e162abf04cd4,8,Automation Essentials,"Essential training for automation engineers, covering automation frameworks, scripting languages, and continuous integration tools.",66053fefd7c487757f97efbc,2024-04-04 16:46:15.370000,660ed5f7d1b3e162abf04cc1,0.0,
6612820b9ee42a92ec2a0f00,10,Software development life cycle (SDLC),This is Software development life cycle (SDLC) training,660feb0a6f3688dd93b44390,2020-08-29,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b443b2', '660feb0a6f3688dd93b4439b', '660feb0a6f3688dd93b443aa']"
6612820b9ee42a92ec2a0f01,11,Object-oriented programming (OOP),This is Object-oriented programming (OOP) training,660feb0a6f3688dd93b442ff,2021-09-17,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b4436d', '660feb0a6f3688dd93b443a1', '660feb0a6f3688dd93b44321']"
6612820b9ee42a92ec2a0f02,12,Design patterns,This is Design patterns training,660feb0a6f3688dd93b443a3,2020-12-27,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b44372', '660feb0a6f3688dd93b4430d', '660feb0a6f3688dd93b4433b']"
6612820b9ee42a92ec2a0f03,13,Software testing,This is Software testing training,660feb0a6f3688dd93b443a0,2020-08-31,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b4435a', '660feb0a6f3688dd93b4433e', '660feb0a6f3688dd93b44358']"
6612820b9ee42a92ec2a0f04,14,Agile methodologies,This is Agile methodologies training,660feb0a6f3688dd93b44314,2021-12-20,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b44335']
6612820b9ee42a92ec2a0f05,15,Continuous integration/continuous deployment (CI/CD),This is Continuous integration/continuous deployment (CI/CD) training,660feb0a6f3688dd93b44371,2022-01-29,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b44386']
6612820b9ee42a92ec2a0f06,16,Version control (Git),This is Version control (Git) training,660feb0a6f3688dd93b44321,2021-01-25,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b4436f']
6612820b9ee42a92ec2a0f07,17,Software architecture,This is Software architecture training,660feb0a6f3688dd93b4439a,2024-02-14,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b44375', '660feb0a6f3688dd93b4435e', '660feb0a6f3688dd93b4438f']"
6612820b9ee42a92ec2a0f08,18,Refactoring techniques,This is Refactoring techniques training,660feb0a6f3688dd93b4435a,2022-08-03,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b443a7', '660feb0a6f3688dd93b44391']"
6612820b9ee42a92ec2a0f09,19,Code review best practices,This is Code review best practices training,660feb0a6f3688dd93b44384,2019-06-25,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b44394']
6612820b9ee42a92ec2a0f0a,20,"Cloud service models (IaaS, PaaS, SaaS)","This is Cloud service models (IaaS, PaaS, SaaS) training",660feb0a6f3688dd93b44314,2023-10-19,660ed4c2d1b3e162abf04cb3,,"['660feb0a6f3688dd93b44319', '660feb0a6f3688dd93b4433f']"
6612820b9ee42a92ec2a0f0b,21,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)","This is Cloud deployment models (Public, Private, Hybrid, Multi-cloud) training",660feb0a6f3688dd93b4435e,2023-08-27,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b44381']
6612820b9ee42a92ec2a0f0c,22,Infrastructure as Code (IaC),This is Infrastructure as Code (IaC) training,660feb0a6f3688dd93b443a5,2023-07-28,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b443bc']
6612820b9ee42a92ec2a0f0d,23,Serverless computing,This is Serverless computing training,660feb0a6f3688dd93b4432c,2019-09-02,660ed4c2d1b3e162abf04cb3,,"['660feb0a6f3688dd93b443a1', '660feb0a6f3688dd93b44383', '660feb0a6f3688dd93b4436b']"
6612820b9ee42a92ec2a0f0e,24,"Containers and container orchestration (e.g., Docker, Kubernetes)","This is Containers and container orchestration (e.g., Docker, Kubernetes) training",660feb0a6f3688dd93b44388,2019-09-24,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b44358']
6612820b9ee42a92ec2a0f0f,25,Cloud security best practices,This is Cloud security best practices training,660feb0a6f3688dd93b4432e,2019-06-17,660ed4c2d1b3e162abf04cb3,,"['660feb0a6f3688dd93b44339', '660feb0a6f3688dd93b4432c', '660feb0a6f3688dd93b4430c']"
6612820b9ee42a92ec2a0f10,26,Scalability and elasticity,This is Scalability and elasticity training,660feb0a6f3688dd93b44329,2023-12-07,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b4433a']
6612820b9ee42a92ec2a0f11,27,Cloud migration strategies,This is Cloud migration strategies training,660feb0a6f3688dd93b44314,2022-05-10,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b443b7']
6612820b9ee42a92ec2a0f12,28,Cost management in the cloud,This is Cost management in the cloud training,660feb0a6f3688dd93b442ff,2022-05-26,660ed4c2d1b3e162abf04cb3,,"['660feb0a6f3688dd93b4438c', '660feb0a6f3688dd93b4435d']"
6612820b9ee42a92ec2a0f13,29,Monitoring and logging in cloud environments,This is Monitoring and logging in cloud environments training,660feb0a6f3688dd93b443bb,2021-09-19,660ed4c2d1b3e162abf04cb3,,['660feb0a6f3688dd93b44388']
6612820b9ee42a92ec2a0f14,30,User research,This is User research training,660feb0a6f3688dd93b443a2,2020-03-11,660ed5b4d1b3e162abf04cb9,,['660feb0a6f3688dd93b4432d']
6612820b9ee42a92ec2a0f15,31,Wireframing,This is Wireframing training,660feb0a6f3688dd93b443b3,2022-04-07,660ed5b4d1b3e162abf04cb9,,['660feb0a6f3688dd93b44341']
6612820b9ee42a92ec2a0f16,32,Prototyping,This is Prototyping training,660feb0a6f3688dd93b443c2,2019-11-02,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b443a1', '660feb0a6f3688dd93b44342', '660feb0a6f3688dd93b4438b']"
6612820b9ee42a92ec2a0f17,33,Usability testing,This is Usability testing training,660feb0a6f3688dd93b44393,2021-02-20,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b44339', '660feb0a6f3688dd93b442fe', '660feb0a6f3688dd93b44303']"
6612820b9ee42a92ec2a0f18,34,User personas,This is User personas training,660feb0a6f3688dd93b44323,2019-07-14,660ed5b4d1b3e162abf04cb9,,['660feb0a6f3688dd93b4439d']
6612820b9ee42a92ec2a0f19,35,Information architecture,This is Information architecture training,660feb0a6f3688dd93b44352,2019-04-30,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b44389', '660feb0a6f3688dd93b44315']"
6612820b9ee42a92ec2a0f1a,36,Visual design principles,This is Visual design principles training,660feb0a6f3688dd93b4433e,2021-04-22,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b4437d', '660feb0a6f3688dd93b44345']"
6612820b9ee42a92ec2a0f1b,37,Responsive web design,This is Responsive web design training,660feb0a6f3688dd93b443a0,2021-06-02,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b44315', '660feb0a6f3688dd93b44382']"
6612820b9ee42a92ec2a0f1c,38,Accessibility standards,This is Accessibility standards training,660feb0a6f3688dd93b44379,2023-06-26,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b443ab', '660feb0a6f3688dd93b443c2', '660feb0a6f3688dd93b443a5']"
6612820b9ee42a92ec2a0f1d,39,Interaction design,This is Interaction design training,660feb0a6f3688dd93b44310,2019-07-09,660ed5b4d1b3e162abf04cb9,,"['660feb0a6f3688dd93b4434b', '660feb0a6f3688dd93b443be']"
6612820b9ee42a92ec2a0f1e,40,RESTful API design,This is RESTful API design training,660feb0a6f3688dd93b4434e,2021-08-16,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44317', '660feb0a6f3688dd93b4430a']"
6612820b9ee42a92ec2a0f1f,41,"Database management systems (e.g., SQL, NoSQL)","This is Database management systems (e.g., SQL, NoSQL) training",660feb0a6f3688dd93b44379,2023-08-11,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44328', '660feb0a6f3688dd93b4432b']"
6612820b9ee42a92ec2a0f20,42,"Server-side programming languages (e.g., Node.js, Django, Flask)","This is Server-side programming languages (e.g., Node.js, Django, Flask) training",660feb0a6f3688dd93b44382,2021-01-26,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b4433a', '660feb0a6f3688dd93b44315', '660feb0a6f3688dd93b4436f']"
6612820b9ee42a92ec2a0f21,43,"Web server technologies (e.g., Apache, Nginx)","This is Web server technologies (e.g., Apache, Nginx) training",660feb0a6f3688dd93b44314,2023-06-21,660ed5c4d1b3e162abf04cbb,,['660feb0a6f3688dd93b4436e']
6612820b9ee42a92ec2a0f22,44,Microservices architecture,This is Microservices architecture training,660feb0a6f3688dd93b4435a,2020-12-31,660ed5c4d1b3e162abf04cbb,,['660feb0a6f3688dd93b44303']
6612820b9ee42a92ec2a0f23,45,Authentication and authorization,This is Authentication and authorization training,660feb0a6f3688dd93b44306,2021-08-25,660ed5c4d1b3e162abf04cbb,,['660feb0a6f3688dd93b4434b']
6612820b9ee42a92ec2a0f24,46,Data modeling and ORM (Object-Relational Mapping),This is Data modeling and ORM (Object-Relational Mapping) training,660feb0a6f3688dd93b44346,2020-11-07,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44332', '660feb0a6f3688dd93b44355', '660feb0a6f3688dd93b44327']"
6612820b9ee42a92ec2a0f25,47,"Message brokers (e.g., RabbitMQ, Kafka)","This is Message brokers (e.g., RabbitMQ, Kafka) training",660feb0a6f3688dd93b44331,2022-02-24,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44327', '660feb0a6f3688dd93b443ac']"
6612820b9ee42a92ec2a0f26,48,Caching strategies,This is Caching strategies training,660feb0a6f3688dd93b4439b,2020-03-27,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44394', '660feb0a6f3688dd93b443a0', '660feb0a6f3688dd93b4432b']"
6612820b9ee42a92ec2a0f27,49,Scalable backend architectures,This is Scalable backend architectures training,660feb0a6f3688dd93b443b6,2022-08-23,660ed5c4d1b3e162abf04cbb,,"['660feb0a6f3688dd93b44360', '660feb0a6f3688dd93b44371', '660feb0a6f3688dd93b443b9']"
6612820b9ee42a92ec2a0f28,50,Data pipelines,This is Data pipelines training,660feb0a6f3688dd93b44385,2021-10-02,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b44364', '660feb0a6f3688dd93b44387', '660feb0a6f3688dd93b443a6']"
6612820b9ee42a92ec2a0f29,51,Data modeling,This is Data modeling training,660feb0a6f3688dd93b4437c,2022-06-13,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b44345', '660feb0a6f3688dd93b4438a']"
6612820b9ee42a92ec2a0f2a,52,"ETL (Extract, Transform, Load) processes","This is ETL (Extract, Transform, Load) processes training",660feb0a6f3688dd93b44308,2022-12-26,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b443b8', '660feb0a6f3688dd93b4439f', '660feb0a6f3688dd93b443c4']"
6612820b9ee42a92ec2a0f2b,53,Data warehouses,This is Data warehouses training,660feb0a6f3688dd93b4433b,2023-01-10,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b443b3', '660feb0a6f3688dd93b4431c', '660feb0a6f3688dd93b44359']"
6612820b9ee42a92ec2a0f2c,54,"Big data technologies (e.g., Hadoop, Spark)","This is Big data technologies (e.g., Hadoop, Spark) training",660feb0a6f3688dd93b4433a,2022-10-29,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b4438b', '660feb0a6f3688dd93b44394', '660feb0a6f3688dd93b4435f']"
6612820b9ee42a92ec2a0f2d,55,Real-time data processing,This is Real-time data processing training,660feb0a6f3688dd93b44340,2022-01-04,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b443c2', '660feb0a6f3688dd93b44386', '660feb0a6f3688dd93b4435b']"
6612820b9ee42a92ec2a0f2e,56,Data streaming,This is Data streaming training,660feb0a6f3688dd93b443a5,2024-01-24,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b443ba', '660feb0a6f3688dd93b44317']"
6612820b9ee42a92ec2a0f2f,57,Database optimization,This is Database optimization training,660feb0a6f3688dd93b44345,2020-10-11,660ed5d6d1b3e162abf04cbd,,"['660feb0a6f3688dd93b443c1', '660feb0a6f3688dd93b44358']"
6612820b9ee42a92ec2a0f30,58,Data governance,This is Data governance training,660feb0a6f3688dd93b44364,2023-04-13,660ed5d6d1b3e162abf04cbd,,['660feb0a6f3688dd93b4430f']
6612820b9ee42a92ec2a0f31,59,Data quality management,This is Data quality management training,660feb0a6f3688dd93b4438d,2022-02-16,660ed5d6d1b3e162abf04cbd,,['660feb0a6f3688dd93b4434e']
6612820b9ee42a92ec2a0f32,60,Data visualization techniques,This is Data visualization techniques training,660feb0a6f3688dd93b44377,2020-04-09,660ed5e7d1b3e162abf04cbf,,['660feb0a6f3688dd93b4437e']
6612820b9ee42a92ec2a0f33,61,Exploratory data analysis (EDA),This is Exploratory data analysis (EDA) training,660feb0a6f3688dd93b4438e,2020-07-01,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44308', '660feb0a6f3688dd93b44316', '660feb0a6f3688dd93b4439f']"
6612820b9ee42a92ec2a0f34,62,Statistical analysis methods,This is Statistical analysis methods training,660feb0a6f3688dd93b4435d,2020-11-24,660ed5e7d1b3e162abf04cbf,,['660feb0a6f3688dd93b44354']
6612820b9ee42a92ec2a0f35,63,Predictive analytics,This is Predictive analytics training,660feb0a6f3688dd93b443c1,2022-04-18,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44311', '660feb0a6f3688dd93b44314', '660feb0a6f3688dd93b44324']"
6612820b9ee42a92ec2a0f36,64,Machine learning algorithms,This is Machine learning algorithms training,660feb0a6f3688dd93b4430b,2023-07-12,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44385', '660feb0a6f3688dd93b4434b', '660feb0a6f3688dd93b4438e']"
6612820b9ee42a92ec2a0f37,65,Natural language processing (NLP),This is Natural language processing (NLP) training,660feb0a6f3688dd93b442fe,2022-12-18,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44357', '660feb0a6f3688dd93b4435c']"
6612820b9ee42a92ec2a0f38,66,Time series analysis,This is Time series analysis training,660feb0a6f3688dd93b4438b,2022-02-09,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44307', '660feb0a6f3688dd93b442ff', '660feb0a6f3688dd93b44336']"
6612820b9ee42a92ec2a0f39,67,Data storytelling,This is Data storytelling training,660feb0a6f3688dd93b44385,2022-02-16,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44339', '660feb0a6f3688dd93b44321']"
6612820b9ee42a92ec2a0f3a,68,Data mining techniques,This is Data mining techniques training,660feb0a6f3688dd93b44311,2022-07-04,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b44311', '660feb0a6f3688dd93b44359']"
6612820b9ee42a92ec2a0f3b,69,A/B testing methodologies,This is A/B testing methodologies training,660feb0a6f3688dd93b443af,2023-02-07,660ed5e7d1b3e162abf04cbf,,"['660feb0a6f3688dd93b443b4', '660feb0a6f3688dd93b44393']"
6612820b9ee42a92ec2a0f3c,70,"Scripting languages (e.g., Python, Bash)","This is Scripting languages (e.g., Python, Bash) training",660feb0a6f3688dd93b4430c,2024-01-16,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b443a0', '660feb0a6f3688dd93b44355']"
6612820b9ee42a92ec2a0f3d,71,"Configuration management tools (e.g., Ansible, Chef, Puppet)","This is Configuration management tools (e.g., Ansible, Chef, Puppet) training",660feb0a6f3688dd93b44366,2020-12-29,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b44355', '660feb0a6f3688dd93b44388', '660feb0a6f3688dd93b44357']"
6612820b9ee42a92ec2a0f3e,72,Continuous testing,This is Continuous testing training,660feb0a6f3688dd93b443a5,2022-07-23,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b4433e', '660feb0a6f3688dd93b4432c', '660feb0a6f3688dd93b44312']"
6612820b9ee42a92ec2a0f3f,73,Robotic process automation (RPA),This is Robotic process automation (RPA) training,660feb0a6f3688dd93b4433e,2023-03-08,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b443c3', '660feb0a6f3688dd93b44333', '660feb0a6f3688dd93b44380']"
6612820b9ee42a92ec2a0f40,74,Automated deployment pipelines,This is Automated deployment pipelines training,660feb0a6f3688dd93b443ab,2022-01-22,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b44336', '660feb0a6f3688dd93b44318', '660feb0a6f3688dd93b4433c']"
6612820b9ee42a92ec2a0f41,75,Infrastructure automation,This is Infrastructure automation training,660feb0a6f3688dd93b44393,2020-09-10,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b4436d', '660feb0a6f3688dd93b44355']"
6612820b9ee42a92ec2a0f42,76,Automated monitoring and alerting,This is Automated monitoring and alerting training,660feb0a6f3688dd93b443b7,2021-03-01,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b44387', '660feb0a6f3688dd93b44314', '660feb0a6f3688dd93b44375']"
6612820b9ee42a92ec2a0f43,77,Test automation frameworks,This is Test automation frameworks training,660feb0a6f3688dd93b44348,2024-03-14,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b44354', '660feb0a6f3688dd93b44333', '660feb0a6f3688dd93b4439c']"
6612820b9ee42a92ec2a0f44,78,Automated incident response,This is Automated incident response training,660feb0a6f3688dd93b44381,2020-10-09,660ed5f7d1b3e162abf04cc1,,['660feb0a6f3688dd93b4439a']
6612820b9ee42a92ec2a0f45,79,Automated documentation generation,This is Automated documentation generation training,660feb0a6f3688dd93b44339,2022-11-30,660ed5f7d1b3e162abf04cc1,,"['660feb0a6f3688dd93b443b9', '660feb0a6f3688dd93b443b4']"
6612820b9ee42a92ec2a0f46,80,Data preprocessing techniques,This is Data preprocessing techniques training,660feb0a6f3688dd93b44388,2019-12-27,660ee2b507387480c73af15e,,['660feb0a6f3688dd93b4439f']
6612820b9ee42a92ec2a0f47,81,Feature engineering,This is Feature engineering training,660feb0a6f3688dd93b4432e,2020-12-17,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b443a0', '660feb0a6f3688dd93b443a1', '660feb0a6f3688dd93b44344']"
6612820b9ee42a92ec2a0f48,82,Supervised learning algorithms,This is Supervised learning algorithms training,660feb0a6f3688dd93b4437e,2019-09-24,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b4436e', '660feb0a6f3688dd93b44331']"
6612820b9ee42a92ec2a0f49,83,Unsupervised learning algorithms,This is Unsupervised learning algorithms training,660feb0a6f3688dd93b44379,2022-11-05,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b44375', '660feb0a6f3688dd93b44389', '660feb0a6f3688dd93b44351']"
6612820b9ee42a92ec2a0f4a,84,"Deep learning frameworks (e.g., TensorFlow, PyTorch)","This is Deep learning frameworks (e.g., TensorFlow, PyTorch) training",660feb0a6f3688dd93b4435a,2023-08-22,660ee2b507387480c73af15e,,['660feb0a6f3688dd93b4438f']
6612820b9ee42a92ec2a0f4b,85,Model evaluation and validation,This is Model evaluation and validation training,660feb0a6f3688dd93b4432f,2022-03-07,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b44303', '660feb0a6f3688dd93b4439a']"
6612820b9ee42a92ec2a0f4c,86,Hyperparameter tuning,This is Hyperparameter tuning training,660feb0a6f3688dd93b4431b,2019-12-19,660ee2b507387480c73af15e,,['660feb0a6f3688dd93b44308']
6612820b9ee42a92ec2a0f4d,87,Ensemble learning methods,This is Ensemble learning methods training,660feb0a6f3688dd93b44316,2023-07-01,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b4436b', '660feb0a6f3688dd93b44314']"
6612820b9ee42a92ec2a0f4e,88,Reinforcement learning,This is Reinforcement learning training,660feb0a6f3688dd93b4431f,2023-06-18,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b44331', '660feb0a6f3688dd93b4437e', '660feb0a6f3688dd93b44384']"
6612820b9ee42a92ec2a0f4f,89,Time series forecasting,This is Time series forecasting training,660feb0a6f3688dd93b44373,2023-12-27,660ee2b507387480c73af15e,,"['660feb0a6f3688dd93b44339', '660feb0a6f3688dd93b443ad', '660feb0a6f3688dd93b44398']"
